datetime,sea_high,salt,wind_speed,wind_dir,temp,pressure,sea_speed,sea_dir_s,sea_dir_i,sea_temp,can_sail
2024-06-01 0:00,650.8,29.1,3.39,211.4,17.02,1009.9,16.4,동남동,110.0,18.26,1
2024-06-01 0:10,641.8,29.11,3.55,210.1,17.0,1009.79,13.2,남,186.0,18.24,1
2024-06-01 0:20,631.1,29.1,3.51,208.2,16.92,1009.75,10.6,남남서,206.0,18.22,1
2024-06-01 0:30,619.8,29.16,2.96,205.6,16.9,1009.61,24.4,동남동,107.0,18.25,1
2024-06-01 0:40,607.8,29.2,3.83,218.8,16.9,1009.63,23.3,북동,42.0,18.18,1
2024-06-01 0:50,594.7,29.2,3.99,224.0,16.89,1009.67,25.1,북동,56.0,18.23,1
2024-06-01 1:00,580.1,29.2,3.51,214.3,16.8,1009.61,30.7,남남서,206.0,18.2,1
2024-06-01 1:10,564.1,29.2,2.15,204.9,16.8,1009.48,33.6,남남서,210.0,18.26,1
2024-06-01 1:20,547.3,29.2,2.52,215.3,16.8,1009.51,32.3,남서,214.0,18.31,1
2024-06-01 1:30,530.6,29.14,2.03,224.5,16.77,1009.58,34.8,남서,218.0,17.99,1
2024-06-01 1:40,513.5,29.17,2.27,237.7,16.81,1009.6,34.7,남서,226.0,17.91,1
2024-06-01 1:50,495.2,29.11,2.45,240.6,16.9,1009.6,35.2,남서,226.0,17.95,1
2024-06-01 2:00,476.1,29.1,2.54,226.2,16.9,1009.6,36.5,남서,233.0,18.02,1
2024-06-01 2:10,457.3,29.19,2.32,227.3,16.9,1009.6,45.5,남서,231.0,18.16,1
2024-06-01 2:20,437.4,29.14,2.24,226.2,16.9,1009.6,48.7,남서,233.0,18.08,1
2024-06-01 2:30,418.3,29.1,2.45,217.7,16.9,1009.6,49.8,남서,234.0,18.14,1
2024-06-01 2:40,399.4,29.1,2.58,220.4,16.84,1009.6,44.2,동북동,62.0,18.04,1
2024-06-01 2:50,380.2,29.1,2.53,220.0,16.8,1009.6,54.9,남서,235.0,18.13,1
2024-06-01 3:00,361.8,29.1,2.63,218.1,16.8,1009.6,56.9,남서,228.0,18.12,1
2024-06-01 3:10,344.6,29.1,2.61,221.0,16.82,1009.6,52.9,남서,229.0,18.13,1
2024-06-01 3:20,327.9,29.1,2.97,221.5,16.81,1009.64,44.1,남서,234.0,18.14,1
2024-06-01 3:30,311.6,29.03,2.39,213.4,16.8,1009.62,41.1,남서,236.0,18.08,1
2024-06-01 3:40,296.3,29.0,2.08,212.6,16.8,1009.76,41.5,남서,234.0,18.03,1
2024-06-01 3:50,282.7,29.0,1.77,215.6,16.8,1009.8,43.1,동북동,60.0,17.94,1
2024-06-01 4:00,269.8,29.0,1.92,208.9,16.86,1009.9,44.9,서남서,237.0,18.01,1
2024-06-01 4:10,257.9,29.0,1.9,218.6,16.92,1009.94,49.9,남서,235.0,18.12,1
2024-06-01 4:20,246.6,28.98,1.81,205.6,16.96,1010.0,46.3,동북동,60.0,17.96,1
2024-06-01 4:30,235.8,29.0,1.34,215.5,17.0,1010.0,45.1,동북동,63.0,17.99,1
2024-06-01 4:40,225.8,29.0,0.96,229.3,17.11,1010.0,44.2,동북동,63.0,18.14,1
2024-06-01 4:50,217.8,29.0,0.66,200.0,17.21,1010.01,38.9,서남서,239.0,18.18,1
2024-06-01 5:00,211.5,29.0,1.07,270.8,17.36,1010.09,29.5,남서,235.0,18.1,1
2024-06-01 5:10,207.4,29.0,1.97,300.1,17.5,1010.14,23.6,남서,235.0,18.2,1
2024-06-01 5:20,204.4,29.0,2.06,304.2,17.59,1010.25,18.8,남서,231.0,18.23,1
2024-06-01 5:30,204.0,29.01,2.31,308.7,17.6,1010.37,17.6,남서,233.0,18.25,1
2024-06-01 5:40,205.9,29.03,3.15,313.8,17.6,1010.5,19.7,남서,233.0,18.23,1
2024-06-01 5:50,210.7,29.0,2.71,319.5,17.6,1010.6,17.4,남서,231.0,18.3,1
2024-06-01 6:00,218.0,29.06,2.86,314.3,17.64,1010.6,12.6,남서,215.0,18.34,1
2024-06-01 6:10,228.0,29.1,2.72,307.2,17.58,1010.64,2.8,남남서,212.0,18.33,1
2024-06-01 6:20,240.0,29.1,2.46,307.0,17.5,1010.63,5.4,북북서,340.0,18.24,1
2024-06-01 6:30,253.3,29.1,2.41,317.6,17.57,1010.76,7.0,북동,48.0,18.22,1
2024-06-01 6:40,268.0,29.01,2.6,322.6,17.64,1010.86,10.8,북북서,344.0,18.27,1
2024-06-01 6:50,283.8,29.0,3.15,312.5,17.73,1010.85,11.3,북,6.0,18.29,1
2024-06-01 7:00,301.4,29.0,3.71,328.5,17.73,1010.91,14.6,북동,52.0,18.32,1
2024-06-01 7:10,321.5,29.0,4.93,325.1,17.89,1010.99,18.5,북동,40.0,18.3,1
2024-06-01 7:20,342.0,29.0,5.57,321.3,17.9,1011.07,22.4,북동,37.0,18.29,1
2024-06-01 7:30,362.0,29.0,4.61,330.8,17.91,1011.0,25.6,북북동,33.0,18.23,1
2024-06-01 7:40,382.0,29.07,4.11,325.3,17.9,1010.92,27.3,북동,37.0,18.19,1
2024-06-01 7:50,401.4,29.16,3.94,339.8,17.93,1010.92,29.3,북동,43.0,18.2,1
2024-06-01 8:00,421.3,29.2,4.27,338.0,18.0,1010.92,30.0,북동,39.0,18.22,1
2024-06-01 8:10,441.2,29.2,3.6,311.3,17.97,1011.02,30.1,북동,43.0,18.21,1
2024-06-01 8:20,461.4,29.2,1.6,74.1,18.14,1011.09,31.1,북동,46.0,18.23,1
2024-06-01 8:30,481.9,29.2,1.62,211.6,18.37,1011.1,34.6,북동,44.0,18.26,1
2024-06-01 8:40,503.5,29.17,3.33,308.6,18.27,1011.17,33.3,북동,40.0,18.25,1
2024-06-01 8:50,523.5,29.11,4.27,319.5,18.39,1011.2,35.1,북동,43.0,18.23,1
2024-06-01 9:00,542.1,29.1,5.57,308.0,18.41,1011.32,31.2,북동,37.0,18.25,1
2024-06-01 9:10,561.2,29.1,5.73,309.4,18.4,1011.41,34.6,동북동,63.0,18.29,1
2024-06-01 9:20,579.7,29.1,5.53,302.8,18.4,1011.5,32.7,북동,46.0,18.26,1
2024-06-01 9:30,598.0,29.1,5.74,305.0,18.41,1011.48,32.7,동,85.0,18.24,1
2024-06-01 9:40,615.2,29.1,5.28,299.7,18.45,1011.47,30.4,북동,53.0,18.13,1
2024-06-01 9:50,631.7,29.1,5.32,307.2,18.59,1011.5,29.7,북동,49.0,18.06,1
2024-06-01 10:00,646.8,29.1,4.74,304.7,18.67,1011.54,28.5,북동,51.0,17.9,1
2024-06-01 10:10,660.6,29.1,5.11,312.6,18.73,1011.5,22.0,북동,47.0,17.87,1
2024-06-01 10:20,672.4,29.12,4.62,308.4,18.72,1011.56,22.2,북동,52.0,17.88,1
2024-06-01 10:30,682.8,29.2,4.88,295.0,18.84,1011.55,22.0,북동,51.0,17.98,1
2024-06-01 10:40,692.9,29.29,4.35,311.5,19.07,1011.5,16.0,북동,53.0,18.0,1
2024-06-01 10:50,700.9,29.31,5.38,311.1,19.28,1011.56,10.3,북동,38.0,17.68,1
2024-06-01 11:00,707.6,29.38,5.34,303.9,19.37,1011.51,16.0,북동,37.0,17.46,1
2024-06-01 11:10,714.2,29.4,5.58,301.8,19.45,1011.51,12.9,북동,47.0,17.83,1
2024-06-01 11:20,719.2,29.4,5.61,292.6,19.52,1011.6,10.9,동북동,61.0,17.85,1
2024-06-01 11:30,722.5,29.44,5.22,299.8,19.65,1011.52,9.7,북동,55.0,17.77,1
2024-06-01 11:40,724.5,29.46,4.65,290.3,19.85,1011.42,7.0,동,100.0,17.74,1
2024-06-01 11:50,726.2,29.49,5.11,287.5,19.92,1011.31,9.1,동남동,104.0,17.68,1
2024-06-01 12:00,725.7,29.5,5.65,287.2,19.81,1011.2,9.6,동북동,76.0,17.77,1
2024-06-01 12:10,723.5,29.5,5.51,284.6,19.96,1011.19,5.1,동,92.0,17.75,1
2024-06-01 12:20,719.1,29.5,5.57,277.3,19.89,1011.2,11.5,동,88.0,17.67,1
2024-06-01 12:30,713.4,29.5,4.85,272.5,19.94,1011.16,14.0,동,100.0,17.65,1
2024-06-01 12:40,706.4,29.5,4.69,280.4,20.13,1011.09,13.5,남,181.0,17.63,1
2024-06-01 12:50,697.7,29.5,4.98,282.3,20.34,1011.0,17.6,동남동,105.0,17.73,1
2024-06-01 13:00,686.8,29.5,4.78,277.4,20.52,1010.91,18.1,동남동,108.0,17.69,1
2024-06-01 13:10,675.0,29.5,5.15,274.4,20.63,1010.8,16.0,동,94.0,17.69,1
2024-06-01 13:20,661.6,29.48,5.6,276.6,20.61,1010.69,19.3,동남동,103.0,17.7,1
2024-06-01 13:30,647.0,29.42,6.78,257.6,19.8,1010.6,21.2,동남동,104.0,17.78,1
2024-06-01 13:40,631.3,29.4,6.12,244.6,19.43,1010.6,12.2,동,92.0,17.76,1
2024-06-01 13:50,615.1,29.4,6.04,239.3,19.22,1010.48,10.2,동,84.0,17.97,1
2024-06-01 14:00,598.6,29.3,7.65,241.7,19.11,1010.45,14.4,동,94.0,17.91,1
2024-06-01 14:10,582.7,29.3,7.96,236.5,19.01,1010.3,20.3,동남동,102.0,18.08,1
2024-06-01 14:20,566.0,29.29,7.45,235.9,19.03,1010.22,16.0,남남서,198.0,18.05,1
2024-06-01 14:30,547.7,29.2,7.38,239.0,19.15,1010.18,17.7,동북동,76.0,18.13,1
2024-06-01 14:40,528.9,29.2,8.0,243.2,19.21,1010.16,18.0,동,82.0,18.08,1
2024-06-01 14:50,509.0,29.2,8.08,241.7,19.17,1010.1,29.9,동북동,61.0,18.2,0
2024-06-01 15:00,488.4,29.2,7.57,235.6,19.02,1010.09,25.5,동북동,72.0,18.17,1
2024-06-01 15:10,468.0,29.3,7.29,242.8,19.15,1009.95,34.3,동북동,62.0,17.84,1
2024-06-01 15:20,448.3,29.3,7.21,250.3,19.15,1009.79,41.4,동북동,66.0,18.2,1
2024-06-01 15:30,428.4,29.3,7.02,252.2,19.12,1009.64,36.8,동북동,72.0,18.12,1
2024-06-01 15:40,409.0,29.24,6.91,253.6,19.1,1009.6,44.3,동북동,69.0,18.81,1
2024-06-01 15:50,389.0,29.2,6.83,255.5,19.13,1009.6,39.0,동북동,72.0,18.52,1
2024-06-01 16:00,369.9,29.2,6.9,252.9,19.15,1009.54,51.3,동북동,64.0,18.37,1
2024-06-01 16:10,350.5,29.2,6.67,249.9,19.1,1009.44,50.4,동북동,66.0,18.24,1
2024-06-01 16:20,332.3,29.2,6.54,256.5,19.33,1009.5,58.3,동북동,68.0,18.43,1
2024-06-01 16:30,315.1,29.2,6.2,260.1,19.56,1009.41,42.4,동북동,69.0,18.49,1
2024-06-01 16:40,299.1,29.2,6.15,267.0,19.76,1009.32,42.7,동북동,65.0,18.39,1
2024-06-01 16:50,285.0,29.2,6.45,264.8,20.06,1009.24,37.9,동북동,70.0,18.34,1
2024-06-01 17:00,272.0,29.18,6.21,269.6,20.1,1009.18,31.5,동북동,72.0,17.95,1
2024-06-01 17:10,260.2,29.13,6.37,272.1,20.0,1009.11,38.5,동북동,72.0,17.9,1
2024-06-01 17:20,249.4,29.1,6.83,268.9,19.94,1009.06,40.0,동북동,74.0,18.68,1
2024-06-01 17:30,238.6,29.11,7.13,267.7,19.82,1008.95,31.5,동,80.0,18.7,1
2024-06-01 17:40,230.0,29.1,6.35,261.3,19.79,1008.89,30.8,동,80.0,18.68,1
2024-06-01 17:50,222.8,29.07,7.11,268.9,19.7,1008.8,28.7,동,89.0,18.75,1
2024-06-01 18:00,217.6,29.01,6.93,269.3,19.6,1008.72,32.7,동남동,104.0,18.66,1
2024-06-01 18:10,213.7,29.0,6.74,266.3,19.6,1008.63,36.4,동남동,119.0,18.68,1
2024-06-01 18:20,211.9,28.91,5.96,269.9,19.6,1008.57,32.4,남동,125.0,18.59,1
2024-06-01 18:30,212.1,28.9,6.2,272.6,19.67,1008.6,25.8,남동,131.0,18.59,1
2024-06-01 18:40,213.9,28.83,6.61,274.8,19.59,1008.62,20.1,남동,139.0,18.6,1
2024-06-01 18:50,217.9,28.8,6.76,277.7,19.38,1008.7,13.5,남남동,157.0,18.57,1
2024-06-01 19:00,224.3,28.77,6.92,278.9,19.26,1008.69,6.5,남동,139.0,18.52,1
2024-06-01 19:10,232.5,28.7,6.83,278.2,19.2,1008.64,1.9,서북서,300.0,18.31,1
2024-06-01 19:20,242.6,28.7,6.32,272.9,19.2,1008.6,2.4,동,98.0,18.42,1
2024-06-01 19:30,254.4,28.7,6.19,271.6,19.14,1008.59,14.0,동북동,57.0,18.22,1
2024-06-01 19:40,267.5,28.7,4.61,268.9,19.05,1008.68,17.0,북동,48.0,18.08,1
2024-06-01 19:50,282.7,28.67,4.37,275.6,19.0,1008.79,22.2,동북동,59.0,18.34,1
2024-06-01 20:00,299.1,28.6,4.63,280.3,19.1,1008.85,25.6,북동,56.0,18.42,1
2024-06-01 20:10,318.0,28.6,5.38,285.6,19.28,1008.94,29.3,북동,51.0,18.41,1
2024-06-01 20:20,337.0,28.6,5.7,293.6,19.44,1009.0,33.0,북동,50.0,18.34,1
2024-06-01 20:30,355.5,28.6,4.63,292.6,19.55,1009.07,35.9,북동,56.0,18.4,1
2024-06-01 20:40,374.7,28.6,4.71,298.5,19.77,1009.33,38.1,북동,51.0,18.39,1
2024-06-01 20:50,393.5,28.67,6.16,308.4,20.31,1009.5,39.3,북동,55.0,18.36,1
2024-06-01 21:00,412.9,28.8,6.14,315.6,20.5,1009.62,38.5,북동,53.0,18.46,1
2024-06-01 21:10,432.0,28.89,4.86,314.2,20.44,1009.67,42.8,동북동,65.0,18.52,1
2024-06-01 21:20,451.4,28.9,4.87,310.9,20.24,1009.72,38.9,북동,52.0,18.43,1
2024-06-01 21:30,471.0,28.9,5.26,318.1,20.01,1009.89,36.1,북동,56.0,18.2,1
2024-06-01 21:40,491.0,28.9,5.02,318.9,20.1,1010.04,38.8,북동,53.0,18.2,1
2024-06-01 21:50,511.0,28.9,4.39,314.0,20.09,1010.18,47.5,북동,54.0,18.23,1
2024-06-01 22:00,529.8,28.9,3.64,310.9,20.02,1010.22,49.5,동북동,57.0,18.23,1
2024-06-01 22:10,549.0,28.9,5.11,316.1,20.03,1010.38,47.4,북동,56.0,18.13,1
2024-06-01 22:20,567.5,28.9,4.39,314.0,20.17,1010.6,48.4,동북동,57.0,18.32,1
2024-06-01 22:30,585.4,28.9,2.78,325.7,19.97,1010.65,41.3,동북동,76.0,18.32,1
2024-06-01 22:40,602.9,28.84,3.89,326.5,19.78,1010.62,42.2,동북동,76.0,18.31,1
2024-06-01 22:50,619.7,28.8,5.59,333.8,19.7,1010.42,36.9,동북동,78.0,18.29,1
2024-06-01 23:00,634.8,28.84,6.6,326.9,19.67,1010.37,31.8,북동,51.0,18.24,1
2024-06-01 23:10,648.1,28.8,5.87,319.1,19.55,1010.47,27.4,동,79.0,18.17,1
2024-06-01 23:20,659.4,28.89,5.79,321.6,19.39,1010.49,23.5,동,85.0,18.06,1
2024-06-01 23:30,670.3,28.9,6.14,318.5,19.2,1010.58,19.8,북동,41.0,18.08,1
2024-06-01 23:40,679.0,28.9,6.19,320.8,19.2,1010.44,18.3,북동,39.0,17.96,1
2024-06-01 23:50,687.1,28.97,5.85,322.3,19.2,1010.4,14.7,북북동,27.0,17.61,1
2024-06-02 0:00,693.7,29.0,6.49,321.0,19.15,1010.64,10.3,북북동,13.0,17.69,1
2024-06-02 0:10,698.3,29.0,6.51,316.2,18.99,1010.79,10.6,북동,35.0,17.9,1
2024-06-02 0:20,700.8,29.02,5.85,314.9,18.9,1010.93,8.9,동북동,70.0,17.77,1
2024-06-02 0:30,702.5,29.1,5.29,314.7,18.86,1011.0,13.8,동북동,59.0,17.78,1
2024-06-02 0:40,703.0,29.1,4.86,311.7,18.8,1010.93,10.6,남동,127.0,17.7,1
2024-06-02 0:50,702.1,29.1,4.69,311.6,18.67,1010.95,12.7,동북동,59.0,17.66,1
2024-06-02 1:00,698.4,29.1,4.45,319.9,18.6,1010.84,8.0,남동,144.0,17.59,1
2024-06-02 1:10,692.1,29.1,3.72,325.3,18.66,1010.77,7.1,남남동,148.0,17.55,1
2024-06-02 1:20,684.2,29.11,2.4,325.7,18.67,1010.8,8.7,남남동,166.0,17.56,1
2024-06-02 1:30,674.5,29.1,0.28,169.4,18.52,1010.77,11.5,남남동,168.0,17.64,1
2024-06-02 1:40,664.2,29.07,0.0,0.0,18.36,1010.65,16.8,남,178.0,17.61,1
2024-06-02 1:50,651.7,28.96,0.0,0.0,18.3,1010.59,18.2,동북동,60.0,17.65,1
2024-06-02 2:00,637.5,28.9,0.0,0.0,18.3,1010.57,17.7,남,188.0,17.65,1
2024-06-02 2:10,621.9,28.88,0.0,0.0,18.25,1010.59,23.7,남,184.0,17.62,1
2024-06-02 2:20,605.4,28.85,0.57,113.9,18.21,1010.43,20.6,동북동,63.0,17.56,1
2024-06-02 2:30,587.7,28.8,1.59,267.5,18.38,1010.4,26.2,남남서,196.0,17.59,1
2024-06-02 2:40,569.8,28.8,1.85,261.8,18.4,1010.37,24.4,남남서,200.0,17.56,1
2024-06-02 2:50,552.0,28.86,2.36,262.3,18.43,1010.37,29.1,남남서,212.0,17.49,1
2024-06-02 3:00,533.9,28.9,3.15,269.1,18.34,1010.48,37.8,남서,226.0,17.49,1
2024-06-02 3:10,515.1,28.9,3.64,259.7,18.23,1010.4,43.0,남서,228.0,17.78,1
2024-06-02 3:20,494.0,28.89,3.99,267.7,18.02,1010.43,45.0,남서,231.0,17.82,1
2024-06-02 3:30,472.4,28.84,4.47,282.3,17.64,1010.48,54.9,남서,233.0,17.84,1
2024-06-02 3:40,450.5,28.8,3.49,276.7,17.34,1010.44,57.5,서남서,238.0,17.95,1
2024-06-02 3:50,429.3,28.84,2.58,278.9,17.09,1010.43,59.6,남서,233.0,17.91,1
2024-06-02 4:00,407.8,28.79,2.14,299.3,17.09,1010.43,58.8,동북동,61.0,17.97,1
2024-06-02 4:10,386.7,28.8,3.04,298.6,17.2,1010.52,56.6,동북동,63.0,18.05,1
2024-06-02 4:20,366.0,28.8,2.88,289.6,17.2,1010.66,57.5,남서,236.0,17.91,1
2024-06-02 4:30,346.0,28.78,3.31,273.9,17.14,1010.69,48.8,동북동,66.0,17.94,1
2024-06-02 4:40,326.4,28.7,3.24,277.7,17.1,1010.64,56.1,동북동,63.0,18.06,1
2024-06-02 4:50,308.4,28.7,2.82,269.8,17.01,1010.53,59.3,서남서,238.0,18.3,1
2024-06-02 5:00,292.2,28.72,2.76,276.3,16.9,1010.5,57.3,서남서,238.0,18.36,1
2024-06-02 5:10,277.7,28.85,1.78,277.8,16.9,1010.41,54.3,남서,235.0,18.23,1
2024-06-02 5:20,264.7,28.9,1.78,273.5,16.9,1010.38,50.3,남서,236.0,18.15,1
2024-06-02 5:30,252.5,28.9,1.27,288.2,16.9,1010.4,46.7,서남서,239.0,18.32,1
2024-06-02 5:40,240.8,28.94,0.78,296.5,16.9,1010.32,45.5,서남서,239.0,18.39,1
2024-06-02 5:50,229.5,28.95,0.71,280.1,16.97,1010.31,44.4,서남서,241.0,18.31,1
2024-06-02 6:00,219.7,29.0,1.16,270.8,17.01,1010.52,43.7,남서,233.0,18.29,1
2024-06-02 6:10,212.0,29.0,1.27,267.1,17.06,1010.57,43.1,남서,236.0,18.37,1
2024-06-02 6:20,206.3,28.91,0.8,290.1,17.07,1010.5,32.7,동북동,69.0,18.39,1
2024-06-02 6:30,202.0,28.9,0.96,283.5,17.12,1010.61,31.4,동북동,63.0,18.43,1
2024-06-02 6:40,199.6,28.91,1.46,281.5,17.19,1010.76,27.9,남서,230.0,18.42,1
2024-06-02 6:50,199.3,28.9,1.45,308.1,17.2,1010.8,18.9,남서,231.0,18.5,1
2024-06-02 7:00,201.3,28.9,1.45,306.3,17.16,1010.75,20.8,남서,225.0,18.51,1
2024-06-02 7:10,205.8,28.9,0.73,259.9,17.18,1010.7,15.2,동북동,62.0,18.54,1
2024-06-02 7:20,213.0,28.9,0.84,256.1,17.2,1010.59,5.1,남서,222.0,18.53,1
2024-06-02 7:30,223.6,28.91,0.14,84.6,17.16,1010.54,3.5,북북동,32.0,18.22,1
2024-06-02 7:40,236.8,28.9,0.0,0.0,17.2,1010.57,10.9,북북동,27.0,18.2,1
2024-06-02 7:50,250.7,28.9,0.36,108.2,17.25,1010.57,15.1,동북동,66.0,18.17,1
2024-06-02 8:00,266.0,28.9,1.33,246.8,17.36,1010.6,19.9,동북동,58.0,18.15,1
2024-06-02 8:10,283.6,28.9,1.06,248.6,17.4,1010.6,21.5,북동,54.0,18.16,1
2024-06-02 8:20,303.5,28.9,1.24,232.4,17.47,1010.68,23.8,북동,51.0,18.22,1
2024-06-02 8:30,325.4,28.83,0.53,182.4,17.57,1010.63,26.9,동북동,58.0,18.23,1
2024-06-02 8:40,347.9,28.8,0.0,0.0,17.67,1010.59,28.3,동북동,60.0,18.2,1
2024-06-02 8:50,370.3,28.82,1.15,222.2,17.88,1010.5,31.6,북동,55.0,18.2,1
2024-06-02 9:00,392.4,28.91,1.57,223.3,17.93,1010.5,29.2,북동,56.0,18.21,1
2024-06-02 9:10,414.0,29.08,1.68,246.4,18.09,1010.5,29.3,북동,50.0,18.36,1
2024-06-02 9:20,434.7,29.16,1.29,277.9,18.23,1010.41,31.4,북동,52.0,18.46,1
2024-06-02 9:30,455.1,29.2,1.58,291.4,18.4,1010.4,32.7,동북동,61.0,18.31,1
2024-06-02 9:40,476.3,29.2,1.68,269.8,18.44,1010.36,29.9,북동,41.0,18.28,1
2024-06-02 9:50,498.2,29.18,1.66,257.1,18.58,1010.3,31.8,북동,38.0,18.33,1
2024-06-02 10:00,519.6,29.12,1.77,231.0,18.69,1010.3,32.2,북동,37.0,18.38,1
2024-06-02 10:10,540.1,29.1,2.47,221.0,18.69,1010.3,38.1,동북동,63.0,18.31,1
2024-06-02 10:20,560.8,29.1,3.57,219.7,18.64,1010.3,39.0,북동,36.0,18.37,1
2024-06-02 10:30,581.0,29.11,4.4,223.4,18.41,1010.26,37.7,북북동,28.0,18.42,1
2024-06-02 10:40,600.6,29.1,4.37,226.4,18.11,1010.2,34.2,동북동,64.0,18.62,1
2024-06-02 10:50,619.4,29.1,4.29,225.8,18.3,1010.13,35.9,동북동,65.0,18.43,1
2024-06-02 11:00,637.1,29.1,3.9,222.5,18.4,1010.1,32.4,동북동,66.0,18.24,1
2024-06-02 11:10,654.3,29.1,3.77,219.3,18.45,1010.14,38.9,동북동,58.0,17.98,1
2024-06-02 11:20,669.5,29.1,3.73,221.1,18.5,1010.1,38.4,북동,49.0,18.26,1
2024-06-02 11:30,682.0,29.16,3.33,220.3,18.5,1010.19,37.5,동북동,57.0,18.19,1
2024-06-02 11:40,693.2,29.2,2.95,215.2,18.49,1010.18,32.9,북동,52.0,18.17,1
2024-06-02 11:50,703.6,29.27,3.42,220.9,18.76,1010.13,25.9,북동,47.0,17.93,1
2024-06-02 12:00,712.6,29.3,3.1,211.1,18.96,1010.04,17.8,북동,46.0,18.0,1
2024-06-02 12:10,721.0,29.32,3.19,214.4,18.99,1009.9,16.0,북동,41.0,17.94,1
2024-06-02 12:20,728.2,29.36,4.03,220.1,18.74,1009.9,15.2,북동,40.0,18.02,1
2024-06-02 12:30,733.3,29.4,5.15,224.4,18.63,1009.85,10.6,북북동,22.0,17.97,1
2024-06-02 12:40,736.9,29.4,5.65,227.9,18.62,1009.82,10.5,북북동,27.0,17.76,1
2024-06-02 12:50,739.4,29.4,6.27,229.0,18.84,1009.73,10.6,북동,40.0,17.85,1
2024-06-02 13:00,739.9,29.4,6.67,234.8,18.9,1009.61,7.0,북동,55.0,18.01,1
2024-06-02 13:10,737.6,29.4,6.7,236.9,18.9,1009.53,7.3,동남동,106.0,18.19,1
2024-06-02 13:20,733.1,29.42,6.72,231.5,18.81,1009.46,6.5,동남동,119.0,18.17,1
2024-06-02 13:30,728.3,29.48,6.28,229.5,18.82,1009.4,8.8,남,190.0,17.97,1
2024-06-02 13:40,721.7,29.42,5.49,222.0,19.01,1009.32,8.3,남남서,199.0,17.94,1
2024-06-02 13:50,712.5,29.4,6.0,230.1,19.32,1009.2,16.7,남남서,193.0,18.05,1
2024-06-02 14:00,701.9,29.4,7.57,248.1,19.7,1009.1,19.4,남남동,153.0,17.95,1
2024-06-02 14:10,689.0,29.4,6.74,246.1,19.8,1009.1,19.1,남남동,153.0,18.07,1
2024-06-02 14:20,674.5,29.4,6.33,247.2,19.9,1009.0,23.0,동남동,118.0,18.06,1
2024-06-02 14:30,658.5,29.4,6.12,239.2,20.03,1008.96,27.8,남남서,213.0,18.08,1
2024-06-02 14:40,641.4,29.39,6.05,234.5,19.85,1008.9,29.9,동남동,109.0,18.33,1
2024-06-02 14:50,623.7,29.26,5.29,223.8,19.48,1008.9,13.8,남서,214.0,18.11,1
2024-06-02 15:00,605.8,29.1,5.22,223.9,19.4,1008.88,28.8,동북동,60.0,17.87,1
2024-06-02 15:10,587.1,29.03,4.84,223.2,19.49,1008.83,33.4,남서,220.0,18.01,1
2024-06-02 15:20,568.6,29.06,4.6,222.2,19.5,1008.9,31.8,남서,221.0,17.98,1
2024-06-02 15:30,549.0,29.08,5.4,224.6,19.36,1008.82,33.2,동북동,59.0,18.21,1
2024-06-02 15:40,528.8,29.1,4.56,221.1,19.3,1008.89,43.7,남서,221.0,18.27,1
2024-06-02 15:50,507.9,29.1,4.44,218.8,19.32,1008.99,37.9,남서,225.0,17.91,1
2024-06-02 16:00,485.7,29.14,5.06,225.7,19.4,1008.99,44.1,남서,224.0,18.15,1
2024-06-02 16:10,463.1,29.2,4.87,226.8,19.34,1009.03,50.4,동북동,59.0,18.73,1
2024-06-02 16:20,441.5,29.2,4.3,224.9,19.27,1009.02,51.9,동북동,61.0,18.48,1
2024-06-02 16:30,419.1,29.2,3.21,216.0,19.14,1009.02,49.1,동북동,61.0,18.44,1
2024-06-02 16:40,398.0,29.12,4.01,196.5,18.92,1008.99,50.0,동북동,60.0,18.46,1
2024-06-02 16:50,376.6,29.1,3.36,214.1,18.78,1008.88,56.0,동북동,58.0,18.59,1
2024-06-02 17:00,355.8,29.1,2.47,219.3,19.03,1008.8,62.9,남서,235.0,18.53,1
2024-06-02 17:10,335.0,29.12,2.5,207.7,19.11,1008.74,59.7,서남서,237.0,18.52,1
2024-06-02 17:20,315.1,29.17,2.46,211.7,18.96,1008.64,56.6,남서,234.0,18.51,1
2024-06-02 17:30,296.3,29.18,2.83,223.9,19.03,1008.51,51.9,동북동,62.0,18.66,1
2024-06-02 17:40,279.4,29.2,3.08,234.4,19.38,1008.44,55.2,동북동,61.0,18.35,1
2024-06-02 17:50,263.8,29.2,3.34,228.0,19.94,1008.4,55.5,서남서,241.0,18.48,1
2024-06-02 18:00,250.0,29.2,3.16,221.6,19.93,1008.4,51.2,동북동,60.0,18.55,1
2024-06-02 18:10,235.7,29.2,4.47,242.4,20.28,1008.33,49.8,서남서,246.0,18.46,1
2024-06-02 18:20,222.3,29.2,4.58,237.7,20.49,1008.4,51.0,동북동,60.0,18.69,1
2024-06-02 18:30,210.0,29.2,4.13,229.7,20.32,1008.41,44.5,동북동,59.0,18.53,1
2024-06-02 18:40,198.7,29.2,4.82,238.0,20.29,1008.49,42.0,동북동,67.0,18.57,1
2024-06-02 18:50,189.8,29.2,4.11,227.9,20.3,1008.58,47.3,남서,235.0,18.92,1
2024-06-02 19:00,182.9,29.2,4.89,237.1,20.2,1008.5,36.6,남서,226.0,18.97,1
2024-06-02 19:10,178.4,29.2,4.7,232.1,20.08,1008.59,27.2,동북동,73.0,18.84,1
2024-06-02 19:20,175.9,29.11,3.8,240.9,19.95,1008.66,18.3,동북동,75.0,18.91,1
